"","X","fname","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date","Plant_ID","uniqueID"
"1",1,"b2_pop_a18_aci_dl_06_23_2016",79.0425898,143.8431147,1.82056599,3.51985931,2.930903831,0.493040214,2016-06-23,"a18","a18-2016-06-23"
"2",2,"b2_pop_a18_aci_mb_06_08_2016",63.70021462,110.6723136,1.46160066,5.98625901,5.114216482,0.927560289,2016-06-08,"a18","a18-2016-06-08"
"3",3,"b2_pop_a18_aci_mb_06_15_2016",65.49183051,153.820118,2.122230134,2.673203124,3.596781819,0.58760373,2016-06-15,"a18","a18-2016-06-15"
"4",4,"b2_pop_a18_aci_mb_06_27_2016",69.33197853,142.0586083,1.241771762,1.257588825,1.425372824,0.233921688,2016-06-27,"a18","a18-2016-06-27"
"5",5,"b2_pop_a18_aci_mb_06_30_2016",66.80563857,123.2301644,1.318917953,1.988882337,1.918537459,0.316118851,2016-06-30,"a18","a18-2016-06-30"
"6",6,"b2_pop_a18_aci_mb_07_05_2016",79.96581864,130.433043,0.798103547,4.272744703,3.938542791,0.665054438,2016-07-05,"a18","a18-2016-07-05"
"7",7,"b2_pop_b06_aci_mb_06_08_2016",81.14738853,129.2203328,0.867687171,6.460181579,4.325941032,0.766261294,2016-06-08,"b06","b06-2016-06-08"
"8",8,"b2_pop_b06_aci_mb_06_15_2016",71.75278765,132.6803619,1.525477357,1.425046317,1.367417101,0.23663408,2016-06-15,"b06","b06-2016-06-15"
"9",9,"b2_pop_b06_aci_mb_06_27_2016",65.1035486,101.1042249,0.483848047,5.434647622,3.24030215,0.598466122,2016-06-27,"b06","b06-2016-06-27"
"10",10,"b2_pop_b06_aci_mb_06_30_2016",72.35789166,116.6304983,1.386313088,2.660962691,2.211455753,0.37451434,2016-06-30,"b06","b06-2016-06-30"
"11",11,"b2_pop_b06_aci_mb_07_05_2016",76.78722227,116.3008952,-0.095899251,13.24691204,8.272465161,1.442015223,2016-07-05,"b06","b06-2016-07-05"
"12",12,"b2_pop_b12_aci_af_06_28_2016",61.23053161,136.961269,1.859246724,2.450075415,3.095454364,0.523314009,2016-06-28,"b12","b12-2016-06-28"
"13",13,"b2_pop_b12_aci_af_06_30_2016",62.96611119,110.9971226,1.324544993,2.608562984,1.855930573,0.322071215,2016-06-30,"b12","b12-2016-06-30"
"14",14,"b2_pop_b12_aci_mb_06_09_2016",90.81110671,164.8910346,1.465946523,7.128875411,6.412185406,1.045683771,2016-06-09,"b12","b12-2016-06-09"
"15",15,"b2_pop_b12_aci_mb_06_16_2016",58.14860916,120.2006552,1.13967404,1.194282746,1.297333547,0.230229914,2016-06-16,"b12","b12-2016-06-16"
"16",16,"b2_pop_b12_aci_mb_06_24_2016",58.48225046,130.504374,1.915354721,1.389310075,1.719451582,0.290903627,2016-06-24,"b12","b12-2016-06-24"
"17",17,"b2_pop_b12_aci_mb_07_06_2016",80.03953272,132.2393684,1.002286603,5.682899765,4.025190592,0.672379637,2016-07-06,"b12","b12-2016-07-06"
"18",18,"b2_pop_c14_aci_af_06_30_2016",74.65056597,128.1131609,1.359134635,6.66451836,6.342752368,1.036871257,2016-06-30,"c14","c14-2016-06-30"
"19",19,"b2_pop_c14_aci_dl 06_28_2016",70.19369614,132.4242952,1.028393051,3.001561113,2.741765221,0.475511982,2016-06-28,"c14","c14-2016-06-28"
"20",20,"b2_pop_c14_aci_mb_06_09_2016",64.80543312,155.5503545,2.314639941,3.294196977,4.691544656,0.765024779,2016-06-09,"c14","c14-2016-06-09"
"21",21,"b2_pop_c14_aci_mb_06_16_2016",64.28766738,152.0058575,0.836212642,3.284603065,4.178142303,0.662896245,2016-06-16,"c14","c14-2016-06-16"
"22",22,"b2_pop_c14_aci_mb_06_24_2016",52.03694315,113.3979456,1.606603831,1.333774455,1.670198439,0.288970033,2016-06-24,"c14","c14-2016-06-24"
"23",23,"b2_pop_c14_aci_mb_07_06_2016",94.573129,142.4681009,0.215301292,9.76147517,6.5375684,1.093477391,2016-07-06,"c14","c14-2016-07-06"
"24",24,"b2_pop_e03_aci_af_06_16_2016",65.09016376,131.3277267,2.234098793,1.816106101,1.967372004,0.351493137,2016-06-16,"e03","e03-2016-06-16"
"25",25,"b2_pop_e03_aci_af_06_28_2016",91.67822284,157.9330104,0.568709695,15.0202481,12.43206512,2.038328165,2016-06-28,"e03","e03-2016-06-28"
"26",26,"b2_pop_e03_aci_af_06_30_2016",71.20265968,127.9452588,0.726232818,2.929804057,2.648392243,0.440963847,2016-06-30,"e03","e03-2016-06-30"
"27",27,"b2_pop_e03_aci_mb_06_09_2016",94.41401477,169.368191,1.551260825,1.825962011,1.888600415,0.298753207,2016-06-09,"e03","e03-2016-06-09"
"28",28,"b2_pop_e03_aci_mb_06_24_2016",84.41668793,159.5129081,1.243504602,8.308523902,7.662823663,1.25286455,2016-06-24,"e03","e03-2016-06-24"
"29",29,"b2_pop_e03_aci_mb_07_06_2016",65.60623088,112.1775286,1.06402972,2.457046177,2.070695166,0.363662162,2016-07-06,"e03","e03-2016-07-06"
"30",30,"b2_pop_e04_aci_af_06_16_2016",59.47098113,158.1757512,2.808681243,1.390002116,2.490434206,0.384928675,2016-06-16,"e04","e04-2016-06-16"
"31",31,"b2_pop_e04_aci_af_06_28_2016",73.9203981,148.6211295,1.674680958,7.03650289,6.048213386,1.019213158,2016-06-28,"e04","e04-2016-06-28"
"32",32,"b2_pop_e04_aci_af_06_30_2016",74.58972397,125.958361,0.789764733,2.488296832,2.071167507,0.34631515,2016-06-30,"e04","e04-2016-06-30"
"33",33,"b2_pop_e04_aci_dl_06_24_2016",57.28555222,120.6656006,1.386064397,0.870116358,1.044232702,0.179679379,2016-06-24,"e04","e04-2016-06-24"
