"","uniqueID","NDVI","PRI","NDWI","fname.x","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date.y","LWC","Water_Pot","Leaf_T","Air_T","Delta_T","VPD","Genotype","Average_Thickness","Par_Total","Wind_Speed","ratio","Obs","Ci","Trmmol","Cond","Photo","QC","Plant_ID","date"
"1","a18-2016-06-08",0.628040563479573,-0.0526130063690564,0.0507691063454213,"b2_pop_a18_aci_mb_06_08_2016",63.70021462,110.6723136,1.46160066,5.98625901,5.114216482,0.927560289,"2016-06-08",2.72,-0.27,34.44444444,33.57,0.87444444,6.526124191,"R-270",0.243333333,564.3954,1.309,0.57557497939575,1,283,6.99,0.304,14.5,-1,"a18",2016-06-08
"2","a18-2016-06-15",0.754097694523629,-0.0271849625756841,0.0525521294384691,"b2_pop_a18_aci_mb_06_15_2016",65.49183051,153.820118,2.122230134,2.673203124,3.596781819,0.58760373,"2016-06-15",1.821,-0.56,31.05555556,31.16,-0.10444444,6.781026696,"R-270",0.19,571.8975,3.821,0.425768952472134,1,271,4.38,0.263,15.1,-1,"a18",2016-06-15
"3","a18-2016-06-23",0.76030483648074,-0.0056759798945942,0.0443456714036417,"b2_pop_a18_aci_dl_06_23_2016",79.0425898,143.8431147,1.82056599,3.51985931,2.930903831,0.493040214,"2016-06-23",1.742,-0.29,30.44444444,32.22,-1.77555556,6.551690341,"R-270",0.213333333,391.3776,2.058,0.549505549604176,1,246,6,0.234,16.2,-1,"a18",2016-06-23
"4","a18-2016-06-27",0.727251271781511,0.00610811907891375,0.0409961617001924,"b2_pop_a18_aci_mb_06_27_2016",69.33197853,142.0586083,1.241771762,1.257588825,1.425372824,0.233921688,"2016-06-27",2.172,-0.48,31.05555556,32.78,-1.72444444,6.168079689,"R-270",0.233333333,549.0254,1.659,0.488051934055164,1,267,7.12,0.295,16.2,-1,"a18",2016-06-27
"5","a18-2016-07-05",0.772870609491128,0.0188223205264134,0.0464378619506476,"b2_pop_a18_aci_mb_07_05_2016",79.96581864,130.433043,0.798103547,4.272744703,3.938542791,0.665054438,"2016-07-05",1.591,-0.66,34.88888889,33.6,1.288888889,6.608588267,"R-270",0.233333333,561.0308,2.302,0.613079452880663,1,243,4.69,0.232,16.8,1,"a18",2016-07-05
"6","b06-2016-06-08",0.790557254363404,0.016942479711895,0.055980391511097,"b2_pop_b06_aci_mb_06_08_2016",81.14738853,129.2203328,0.867687171,6.460181579,4.325941032,0.766261294,"2016-06-08",2.303,-0.29,28.11111111,33.57,-5.45888889,6.526124191,"R-270",0.25,564.3954,1.309,0.62797693498898,1,285,9.25,0.534,21.4,1,"b06",2016-06-08
"7","b06-2016-06-15",0.78749938933224,-0.0164433807453914,0.0519013413601732,"b2_pop_b06_aci_mb_06_15_2016",71.75278765,132.6803619,1.525477357,1.425046317,1.367417101,0.23663408,"2016-06-15",1.425,-0.68,30.88888889,31.16,-0.27111111,6.781026696,"R-270",0.266666667,571.8975,3.821,0.540794331749558,1,252,6.69,0.248,16.1,1,"b06",2016-06-15
"8","b06-2016-06-27",0.742198116311214,0.009930880426441,0.0403994800342004,"b2_pop_b06_aci_mb_06_27_2016",65.1035486,101.1042249,0.483848047,5.434647622,3.24030215,0.598466122,"2016-06-27",1.912,-0.45,27.27777778,32.78,-5.50222222,6.168079689,"R-270",0.24,549.0254,1.659,0.643925104657026,1,270,6.49,0.289,15.8,-1,"b06",2016-06-27
"9","b06-2016-07-05",0.774993062586644,0.0162712809638149,0.0485750160170749,"b2_pop_b06_aci_mb_07_05_2016",76.78722227,116.3008952,-0.095899251,13.24691204,8.272465161,1.442015223,"2016-07-05",1.722,-0.46,29.83333333,33.6,-3.766666667,6.608588267,"R-270",0.226666667,561.0308,2.302,0.660246184158349,1,273,5.63,0.375,19.5,1,"b06",2016-07-05
"10","b12-2016-06-09",0.799403365830584,-0.0101062368553617,0.0505235001659102,"b2_pop_b12_aci_mb_06_09_2016",90.81110671,164.8910346,1.465946523,7.128875411,6.412185406,1.045683771,"2016-06-09",1.436,-0.46,33.05555556,30.99,2.06555556,5.652529837,"52-276",0.293333333,557.0929,1.132,0.550734046458582,1,257,4.5,0.331,20.4,-1,"b12",2016-06-09
